n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns
100,20,12.656874852111082,18.10147992659292,0.8179646802595297,451.73709580503885,4.517370958050389,3.0,20.0,-7.6536087370408135,32.53935122737811,36.97592176562854,fd003_lgbm_w50_cap125_quantile_a04_none_base,fault_sensitive_features,50,125,quantile,0.4,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.493398665549707,15.129415529501317,0.872833769853158,392.595978878315,3.92595978878315,9.0,7.000000000000001,-0.6544524865463014,24.065973508626787,29.988323711366466,fd003_lgbm_w50_cap125_quantile_a04_none_base,fault_sensitive_features,50,125,quantile,0.4,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.95367526852814,18.18357189811067,0.8163098405701333,555.0495306039678,5.550495306039678,5.0,17.0,-4.827352379731332,30.555639948076546,36.12243081906762,fd003_lgbm_w50_cap125_quantile_a04_none_base,fault_sensitive_features,50,125,quantile,0.4,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.863795203716,15.192228684240224,0.8717756597809714,332.7034039011109,3.327034039011109,6.0,10.0,-1.6441342997625594,21.94648773789551,30.20912068158958,fd003_lgbm_w50_cap125_quantile_a04_none_base,fault_sensitive_features,50,125,quantile,0.4,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.431410630149902,15.636422308890468,0.8641679429877959,390.0650601140821,3.900650601140821,5.0,13.0,-3.185925583423647,26.65508079972982,33.36496226516957,fd003_lgbm_w50_cap125_quantile_a04_none_base,fault_sensitive_features,50,125,quantile,0.4,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.855085765266557,17.89616814863213,0.8220706475532693,420.62599199502387,4.206259919950239,1.0,22.0,-8.06769678031935,31.59326617568446,41.02860787293398,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive_features,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.606880430258222,15.402696002653403,0.8681983088054693,395.4428419045335,3.954428419045335,8.0,9.0,-1.173188950600293,27.01462970524022,31.65720240434445,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive_features,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.635213075618719,17.19797432257463,0.8356831551111464,443.16186218294564,4.431618621829457,4.0,14.000000000000002,-4.897016177581583,28.094243235212954,35.26433908951447,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive_features,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.124372258216395,15.484593885631801,0.8667929734428079,342.0790348992527,3.420790348992527,6.0,10.0,-1.5454760707869355,25.676735190395267,32.70870977593558,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive_features,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.590272062384765,15.853752169747452,0.8603658567445711,419.601960870091,4.19601960870091,6.0,13.0,-2.572121316271514,28.168795162771428,32.78926451383921,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive_features,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19"
