representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,training_objective
temporal_w50,LGBM_quantile_a045,90+,39,15.38246914766261,18.099376118299883,-0.456901928481964,132.7012735552443,3.4025967578267773,0.0,quantile_alpha_0.45
temporal_w50,LGBM_quantile_a045,60-90,20,14.833474101972604,17.288131984278348,0.0,105.4861628514311,5.274308142571555,35.0,quantile_alpha_0.45
temporal_w50,LGBM_quantile_a045,30-60,20,7.423295319616463,9.20804832389747,0.0,27.152521203239196,1.3576260601619599,0.0,quantile_alpha_0.45
temporal_w50,LGBM_quantile_a045,0-30,20,3.8371728060928625,5.0253788507531105,0.0,9.617269578228193,0.4808634789114096,0.0,quantile_alpha_0.45
temporal_w50,LGBM_quantile_a040,90+,39,15.592666994362848,18.55799196008158,-0.531669528547013,136.41514662018645,3.497824272312473,0.0,quantile_alpha_0.40
temporal_w50,LGBM_quantile_a040,60-90,20,14.22584057782987,16.401086513546637,0.0,90.56121552461207,4.528060776230603,20.0,quantile_alpha_0.40
temporal_w50,LGBM_quantile_a040,30-60,20,6.411056440284551,7.722046886674461,0.0,19.00841381308357,0.9504206906541786,0.0,quantile_alpha_0.40
temporal_w50,LGBM_quantile_a040,0-30,20,3.7208998820433443,4.627784287323041,0.0,8.962527836819891,0.44812639184099456,0.0,quantile_alpha_0.40
temporal_w50,LGBM_huber_bin_weights,90+,39,55.27672107322349,57.26469318539851,-13.584011038668756,4771.186118698835,122.33810560766244,0.0,huber_bin_weights
temporal_w50,LGBM_huber_bin_weights,60-90,20,12.602042679840954,12.912352229708699,0.0,34.06644339717293,1.7033221698586467,0.0,huber_bin_weights
temporal_w50,LGBM_huber_bin_weights,30-60,20,9.684679966894096,10.017456605091752,0.0,34.558908401341334,1.7279454200670668,0.0,huber_bin_weights
temporal_w50,LGBM_huber_bin_weights,0-30,20,37.11215685278733,37.11224732209182,0.0,798.0978146079008,39.90489073039504,100.0,huber_bin_weights
temporal_w50,LGBM_asym_soft,90+,39,14.887821527288756,17.45083058862914,-0.35436372398375937,119.3427979806239,3.0600717430929203,0.0,soft_cmapss_like
temporal_w50,LGBM_asym_soft,60-90,20,15.028417249896183,18.60383962167014,0.0,135.81869158326865,6.790934579163432,45.0,soft_cmapss_like
temporal_w50,LGBM_asym_soft,30-60,20,7.46511838996206,9.144260816185698,0.0,26.890110624553422,1.344505531227671,5.0,soft_cmapss_like
temporal_w50,LGBM_asym_soft,0-30,20,3.2601520049259056,4.064896432638393,0.0,7.974681686543143,0.3987340843271571,0.0,soft_cmapss_like
temporal_w50,LGBM_asym_balanced,90+,39,14.965978134393858,17.388253587157838,-0.3446679030292359,119.39071042029391,3.0613002671870233,0.0,balanced_cmapss_like
temporal_w50,LGBM_asym_balanced,60-90,20,16.073785962131097,19.28894567060664,0.0,152.28454894315,7.614227447157501,35.0,balanced_cmapss_like
temporal_w50,LGBM_asym_balanced,30-60,20,7.254563293214639,8.700818890497185,0.0,24.79109558521228,1.2395547792606139,0.0,balanced_cmapss_like
temporal_w50,LGBM_asym_balanced,0-30,20,3.6280825816612583,4.600699410552591,0.0,9.494418363032613,0.47472091815163064,0.0,balanced_cmapss_like
