variant,rul_bin,n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95
global_baseline,0-30,100,71,3.253793208677099,4.264005488491562,,39.21124504535388,0.39211245045353876,0.0,0.0,0.2538942661327177,6.5373637154062285,8.951729079286048
global_baseline,101+,200,71,17.890341462829216,21.479413909149855,-1.0505120972470232,1164.6638350961596,5.823319175480798,0.0,32.5,-13.848360185650515,36.137950807516965,41.127264704242236
global_baseline,31-60,100,71,8.094769038857756,11.183978481932492,,274.9933272727508,2.7499332727275076,6.0,0.0,3.1036716113260097,18.532236003330745,21.9981219335536
global_baseline,61-100,100,71,13.682578418551373,16.685524977223487,,542.0432844375824,5.420432844375824,19.0,3.0,6.083655198282624,27.9979571621158,32.6098093021347
global_with_cluster_probs,0-30,100,71,3.166094256547418,4.242630390028341,,39.118943621818566,0.39118943621818564,0.0,0.0,0.3455586932841511,5.740203837874038,8.823165889474893
global_with_cluster_probs,101+,200,71,18.079707260224847,21.82728878964561,-1.1174690484737289,1258.9196901103144,6.294598450551572,0.0,31.0,-13.916002568649839,35.96835611109479,43.23053306916071
global_with_cluster_probs,31-60,100,71,8.191169542626184,11.293198312921245,,290.8320655693146,2.908320655693146,8.0,0.0,3.430027548827344,18.13330339652191,22.971804947224797
global_with_cluster_probs,61-100,100,71,13.893371353457526,16.925250519251506,,544.049059651479,5.440490596514789,19.0,3.0,6.658623765038917,26.40827436445479,33.55215469065713
mixture_of_experts_soft,0-30,100,71,2.9956616566622007,4.0195510233009655,,36.09438510449004,0.36094385104490034,0.0,0.0,0.4394115838854586,5.954532310109223,8.042666490337119
mixture_of_experts_soft,101+,200,71,17.65322953746641,21.20666206833917,-0.9987667381366019,1336.941632605527,6.6847081630276355,0.0,32.0,-13.443395240744117,33.299229447493815,38.84820984845229
mixture_of_experts_soft,31-60,100,71,8.862318835542316,11.862629716329279,,334.19240561028187,3.3419240561028185,7.000000000000001,0.0,4.580677934481388,17.323566382160998,23.949117150422953
mixture_of_experts_soft,61-100,100,71,15.177641864091228,17.955289924032332,,605.5831643719108,6.055831643719108,25.0,4.0,7.267086146035306,29.15869701928479,30.573418491913124
